INFO: 2025/05/19 17:08:50 Metric: 60.00, Z-Score: 0.00, Anomaly: false
INFO: 2025/05/19 17:08:50 Starting API server on :8080
INFO: 2025/05/19 17:08:52 Metric: 62.00, Z-Score: 0.00, Anomaly: false
INFO: 2025/05/19 17:08:54 Metric: 64.00, Z-Score: 0.00, Anomaly: false
INFO: 2025/05/19 17:08:56 Metric: 66.00, Z-Score: 0.00, Anomaly: false
INFO: 2025/05/19 17:08:58 Metric: 68.00, Z-Score: 1.41, Anomaly: false
INFO: 2025/05/19 17:09:00 Metric: 50.00, Z-Score: -2.00, Anomaly: false
INFO: 2025/05/19 17:09:02 Metric: 52.00, Z-Score: -1.30, Anomaly: false
INFO: 2025/05/19 17:09:04 Metric: 54.00, Z-Score: -0.87, Anomaly: false
INFO: 2025/05/19 17:09:06 Metric: 56.00, Z-Score: -0.51, Anomaly: false
INFO: 2025/05/19 17:09:08 Metric: 58.00, Z-Score: -0.17, Anomaly: false
INFO: 2025/05/19 17:09:10 Metric: 60.00, Z-Score: 0.17, Anomaly: false
INFO: 2025/05/19 17:09:12 Metric: 62.00, Z-Score: 0.52, Anomaly: false
INFO: 2025/05/19 17:09:14 Metric: 64.00, Z-Score: 0.87, Anomaly: false
INFO: 2025/05/19 17:09:16 Metric: 66.00, Z-Score: 1.22, Anomaly: false
INFO: 2025/05/19 17:09:18 Metric: 68.00, Z-Score: 1.57, Anomaly: false
INFO: 2025/05/19 17:09:20 Metric: 70.00, Z-Score: 1.57, Anomaly: false
INFO: 2025/05/19 17:09:22 Metric: 72.00, Z-Score: 1.57, Anomaly: false
INFO: 2025/05/19 17:09:24 Metric: 74.00, Z-Score: 1.57, Anomaly: false
INFO: 2025/05/19 17:09:26 Metric: 76.00, Z-Score: 1.57, Anomaly: false
INFO: 2025/05/19 17:09:28 Metric: 78.00, Z-Score: 1.57, Anomaly: false
INFO: 2025/05/19 17:09:30 Metric: 80.00, Z-Score: 1.57, Anomaly: false
INFO: 2025/05/19 17:09:32 Metric: 82.00, Z-Score: 1.57, Anomaly: false
INFO: 2025/05/19 17:09:34 Metric: 84.00, Z-Score: 1.57, Anomaly: false
INFO: 2025/05/19 17:09:36 Metric: 86.00, Z-Score: 1.57, Anomaly: false
INFO: 2025/05/19 17:09:38 Metric: 88.00, Z-Score: 1.57, Anomaly: false
INFO: 2025/05/19 17:09:40 Metric: 50.00, Z-Score: -2.63, Anomaly: true
INFO: 2025/05/19 17:09:40 ALERT: Anomaly detected with metric 50.00 (Z-Score: -2.63)
INFO: 2025/05/19 17:09:42 Metric: 52.00, Z-Score: -1.81, Anomaly: false
INFO: 2025/05/19 17:09:44 Metric: 54.00, Z-Score: -1.34, Anomaly: false
INFO: 2025/05/19 17:09:46 Metric: 56.00, Z-Score: -1.00, Anomaly: false
INFO: 2025/05/19 17:09:48 Metric: 58.00, Z-Score: -0.72, Anomaly: false
INFO: 2025/05/19 17:09:50 Metric: 60.00, Z-Score: -0.47, Anomaly: false
INFO: 2025/05/19 17:09:52 Metric: 62.00, Z-Score: -0.21, Anomaly: false
INFO: 2025/05/19 17:09:54 Metric: 64.00, Z-Score: 0.08, Anomaly: false
INFO: 2025/05/19 17:09:56 Metric: 66.00, Z-Score: 0.49, Anomaly: false
INFO: 2025/05/19 17:09:58 Metric: 68.00, Z-Score: 1.57, Anomaly: false
INFO: 2025/05/19 17:10:00 Metric: 50.00, Z-Score: -1.57, Anomaly: false
INFO: 2025/05/19 17:10:02 Metric: 52.00, Z-Score: -1.22, Anomaly: false
INFO: 2025/05/19 17:10:04 Metric: 54.00, Z-Score: -0.87, Anomaly: false
INFO: 2025/05/19 17:10:06 Metric: 56.00, Z-Score: -0.52, Anomaly: false
INFO: 2025/05/19 17:10:08 Metric: 58.00, Z-Score: -0.17, Anomaly: false
INFO: 2025/05/19 17:10:10 Metric: 60.00, Z-Score: 0.17, Anomaly: false
INFO: 2025/05/19 17:10:12 Metric: 62.00, Z-Score: 0.52, Anomaly: false
INFO: 2025/05/19 17:10:14 Metric: 64.00, Z-Score: 0.87, Anomaly: false
INFO: 2025/05/19 17:10:16 Metric: 66.00, Z-Score: 1.22, Anomaly: false
INFO: 2025/05/19 17:10:18 Metric: 68.00, Z-Score: 1.57, Anomaly: false
INFO: 2025/05/19 17:10:20 Metric: 70.00, Z-Score: 1.57, Anomaly: false
